date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:03	0/0	---M--	200	added ('OK')	application/javascript	etag:%228d7b712e5295da1:0%22	https://www.sapo.vn/Themes/Portal/Default/Scripts/dist/popup-trial.js	D:/TKW2023/theme-sapo/www.sapo.vn/Themes/Portal/Default/Scripts/dist/popup-trial.js	(from https://themes.sapo.vn/demo/mendover-theme)
10:16:03	5190/5190	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Apr%202025%2003:16:07%20GMT	https://themes.sapo.vn/demo/store	D:/TKW2023/theme-sapo/themes.sapo.vn/demo/store	(from https://themes.sapo.vn/demo/mendover-theme)
10:16:04	1717/1717	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Apr%202025%2003:16:08%20GMT	https://themes.sapo.vn/Themes/Portal/Default/Styles/sass/fancybox_sprite.png	D:/TKW2023/theme-sapo/themes.sapo.vn/Themes/Portal/Default/Styles/sass/fancybox_sprite.png	(from https://themes.sapo.vn/Themes/Portal/Default/Styles/dist/view-demo.min.css?v=1.316)
10:16:04	1717/1717	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Apr%202025%2003:16:08%20GMT	https://themes.sapo.vn/Themes/Portal/Default/Styles/sass/fancybox_loading.gif	D:/TKW2023/theme-sapo/themes.sapo.vn/Themes/Portal/Default/Styles/sass/fancybox_loading.gif	(from https://themes.sapo.vn/Themes/Portal/Default/Styles/dist/view-demo.min.css?v=1.316)
10:16:04	1717/1717	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Apr%202025%2003:16:08%20GMT	https://themes.sapo.vn/Themes/Portal/Default/Styles/sass/blank.gif	D:/TKW2023/theme-sapo/themes.sapo.vn/Themes/Portal/Default/Styles/sass/blank.gif	(from https://themes.sapo.vn/Themes/Portal/Default/Styles/dist/view-demo.min.css?v=1.316)
10:16:04	1717/1717	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Apr%202025%2003:16:08%20GMT	https://themes.sapo.vn/Themes/Portal/Default/Styles/sass/fancybox_overlay.png	D:/TKW2023/theme-sapo/themes.sapo.vn/Themes/Portal/Default/Styles/sass/fancybox_overlay.png	(from https://themes.sapo.vn/Themes/Portal/Default/Styles/dist/view-demo.min.css?v=1.316)
10:16:05	1717/1717	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Apr%202025%2003:16:09%20GMT	https://themes.sapo.vn/Themes/Portal/Default/Styles/sass/fancybox_sprite@2x.png	D:/TKW2023/theme-sapo/themes.sapo.vn/Themes/Portal/Default/Styles/sass/fancybox_sprite@2x.png	(from https://themes.sapo.vn/Themes/Portal/Default/Styles/dist/view-demo.min.css?v=1.316)
10:16:05	1717/1717	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Apr%202025%2003:16:09%20GMT	https://themes.sapo.vn/Themes/Portal/Default/Styles/sass/fancybox_loading@2x.gif	D:/TKW2023/theme-sapo/themes.sapo.vn/Themes/Portal/Default/Styles/sass/fancybox_loading@2x.gif	(from https://themes.sapo.vn/Themes/Portal/Default/Styles/dist/view-demo.min.css?v=1.316)
10:16:05	1138/1138	---M--	200	added ('OK')	image/png	etag:%22cf69e9d6de18d91:0%22	https://themes.sapo.vn/Themes/Portal/Default/Images/icon-back.png	D:/TKW2023/theme-sapo/themes.sapo.vn/Themes/Portal/Default/Images/icon-back.png	(from https://themes.sapo.vn/Themes/Portal/Default/Styles/dist/view-demo.min.css?v=1.316)
10:16:05	70857/70857	---M--	200	added ('OK')	image/png	etag:%225bb8de3dda18d91:0%22	https://www.sapo.vn/Themes/Portal/Default/StylesV2/images/flags.png	D:/TKW2023/theme-sapo/www.sapo.vn/Themes/Portal/Default/StylesV2/images/flags.png	(from https://www.sapo.vn/Themes/Portal/Default/StylesV2/dist/popup-register-default.min.css)
10:16:06	340194/340194	---M--	200	added ('OK')	image/jpeg	etag:%221fdc773dda18d91:0%22	https://www.sapo.vn/Themes/Portal/Default/StylesV2/images/bg-register.jpg	D:/TKW2023/theme-sapo/www.sapo.vn/Themes/Portal/Default/StylesV2/images/bg-register.jpg	(from https://www.sapo.vn/Themes/Portal/Default/StylesV2/dist/popup-register-default.min.css)
